priority,icao,iata,name,city,country,region,continent,kind,runways,longest_ft,why
1,TAPA,ANU,V. C. Bird International Airport,Osbourn,AG,AG-03,NA,large_airport,1,9003,share of NA/AG
1,TQPF,AXA,Clayton J. Lloyd International Airport,The Valley,AI,AI-U-A,NA,medium_airport,1,5462,share of NA/AI
1,TNCA,AUA,Queen Beatrix International Airport,Oranjestad,AW,AW-U-A,NA,large_airport,1,9000,share of NA/AW
1,TBPB,BGI,Grantley Adams International Airport,Bridgetown,BB,BB-01,NA,large_airport,1,11000,share of NA/BB
1,TFFJ,SBH,St. Jean Airport,Gustavia,BL,BL-U-A,NA,medium_airport,1,2119,share of NA/BL
1,TXKF,BDA,L.F. Wade International Airport,Hamilton,BM,BM-U-A,NA,large_airport,1,9705,share of NA/BM
1,TNCB,BON,Flamingo International Airport,Kralendijk,BQ,BQ-BO,NA,large_airport,1,9449,share of NA/BQ
1,TNCE,EUX,F. D. Roosevelt Airport,Oranjestad,BQ,BQ-SE,NA,medium_airport,1,4265,share of NA/BQ
1,MYNN,NAS,Lynden Pindling International Airport,Nassau,BS,BS-NP,NA,large_airport,2,11353,share of NA/BS
1,MYGF,FPO,Grand Bahama International Airport,Freeport,BS,BS-FP,NA,large_airport,1,11019,share of NA/BS
1,MYSM,ZSA,San Salvador International Airport,San Salvador,BS,BS-SS,NA,large_airport,1,8000,share of NA/BS
1,MYER,RSD,Rock Sound International Airport,Rock Sound,BS,BS-SE,NA,medium_airport,1,7213,share of NA/BS
1,MYEF,GGT,Exuma International Airport,Moss Town,BS,BS-EX,NA,medium_airport,1,7051,share of NA/BS
1,MYAM,MHH,Leonard M. Thompson International Airport,Marsh Harbour,BS,BS-CO,NA,medium_airport,1,6100,share of NA/BS
1,MYIG,IGA,Inagua Airport,Matthew Town,BS,BS-IN,NA,medium_airport,2,7020,share of NA/BS
1,MYCA,ATC,Arthur's Town Airport,Arthur's Town,BS,BS-CI,NA,medium_airport,2,7015,share of NA/BS
1,MYEM,GHB,Governor's Harbour Airport,Governor's Harbour,BS,BS-CE,NA,medium_airport,1,8024,share of NA/BS
1,MYMM,MYG,Mayaguana Airport,Abraham Bay Settlement,BS,BS-MG,NA,medium_airport,1,7297,share of NA/BS
1,MYAT,TCB,Treasure Cay Airport,Treasure Cay,BS,BS-CO,NA,medium_airport,1,7001,share of NA/BS
1,MYEH,ELH,North Eleuthera Airport,North Eleuthera,BS,BS-HI,NA,medium_airport,1,6020,share of NA/BS
1,MYBS,BIM,South Bimini Airport,South Bimini,BS,BS-BI,NA,medium_airport,1,5409,share of NA/BS
1,MYAK,TZN,Congo Town Airport,Andros,BS,BS-SA,NA,medium_airport,1,5300,share of NA/BS
1,MYCB,TBI,New Bight Airport,Cat Island,BS,BS-CI,NA,medium_airport,1,5050,share of NA/BS
1,MYAN,SAQ,San Andros Airport,Andros Island,BS,BS-NS,NA,medium_airport,1,5025,share of NA/BS
1,MYAB,MAY,Clarence A. Bain Airport,Mangrove Cay,BS,BS-SA,NA,medium_airport,1,5000,share of NA/BS
1,MYAP,AXP,Spring Point Airport,Spring Point,BS,BS-AK,NA,medium_airport,1,5000,share of NA/BS
1,MZBZ,BZE,Philip S. W. Goldson International Airport,Belize City,BZ,BZ-BZ,NA,large_airport,1,9678,share of NA/BZ
1,MZPL,PLJ,Placencia Airport,Placencia,BZ,BZ-SC,NA,medium_airport,1,2133,share of NA/BZ
1,MZBE,TZA,Sir Barry Bowen Municipal Airport,Belize City,BZ,BZ-BZ,NA,medium_airport,0,0,share of NA/BZ
1,MZCK,CUK,Caye Caulker Airport,Caye Caulker,BZ,BZ-BZ,NA,medium_airport,0,0,share of NA/BZ
1,MZCP,CYC,Caye Chapel Airport,Caye Chapel,BZ,BZ-BZ,NA,medium_airport,0,0,share of NA/BZ
1,MZCZ,CZH,Corozal Airport,Corozal,BZ,BZ-CZL,NA,medium_airport,0,0,share of NA/BZ
1,CYYZ,YYZ,Toronto Pearson International Airport,Toronto,CA,CA-ON,NA,large_airport,5,11120,share of NA/CA
1,CYYC,YYC,Calgary International Airport,Calgary,CA,CA-AB,NA,large_airport,3,14000,share of NA/CA
1,CYVR,YVR,Vancouver International Airport,Vancouver,CA,CA-BC,NA,large_airport,3,11500,share of NA/CA
1,CYOW,YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,CA-ON,NA,large_airport,3,10000,share of NA/CA
1,CYYJ,YYJ,Victoria International Airport,Victoria,CA,CA-BC,NA,large_airport,3,7000,share of NA/CA
1,CYEG,YEG,Edmonton International Airport,Edmonton,CA,CA-AB,NA,large_airport,2,11000,share of NA/CA
1,CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,CA-QC,NA,large_airport,2,11000,share of NA/CA
1,CYWG,YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA,CA-MB,NA,large_airport,2,11000,share of NA/CA
1,CYHZ,YHZ,Halifax / Stanfield International Airport,Halifax,CA,CA-NS,NA,large_airport,2,10500,share of NA/CA
1,CYHM,YHM,John C. Munro Hamilton International Airport,Hamilton,CA,CA-ON,NA,large_airport,2,10006,share of NA/CA
1,CYQB,YQB,Quebec Jean Lesage International Airport,Quebec,CA,CA-QC,NA,large_airport,2,9000,share of NA/CA
1,CYQG,YQG,Windsor International Airport,Windsor,CA,CA-ON,NA,large_airport,2,9000,share of NA/CA
1,CYYT,YYT,St. John's International Airport,St. John's,CA,CA-NL,NA,large_airport,2,8502,share of NA/CA
1,CYXE,YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA,CA-SK,NA,large_airport,2,8300,share of NA/CA
1,CYLW,YLW,Kelowna International Airport,Kelowna,CA,CA-BC,NA,large_airport,1,8900,share of NA/CA
1,CYXS,YXS,Prince George (International) Airport,Prince George,CA,CA-BC,NA,medium_airport,3,11450,share of NA/CA
1,CYMX,YMX,Montreal Mirabel International Airport,Montréal,CA,CA-QC,NA,medium_airport,2,12000,share of NA/CA
1,CYQX,YQX,Gander International Airport,Gander,CA,CA-NL,NA,medium_airport,2,10200,share of NA/CA
1,CYQM,YQM,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,CA-NB,NA,medium_airport,2,10001,share of NA/CA
1,CYQQ,YQQ,Comox Valley International Airport / CFB Comox,Comox,CA,CA-BC,NA,medium_airport,2,10000,share of NA/CA
1,CYXX,YXX,Abbotsford International Airport,Abbotsford,CA,CA-BC,NA,medium_airport,2,9600,share of NA/CA
1,CYXY,YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,CA,CA-YT,NA,medium_airport,2,9497,share of NA/CA
1,CYXU,YXU,London International Airport,London,CA,CA-ON,NA,medium_airport,2,8800,share of NA/CA
1,CYFC,YFC,Fredericton International Airport,Fredericton,CA,CA-NB,NA,medium_airport,2,8005,share of NA/CA
1,CYQR,YQR,Regina International Airport,Regina,CA,CA-SK,NA,medium_airport,2,7900,share of NA/CA
1,CYZF,YZF,Yellowknife International Airport,Yellowknife,CA,CA-NT,NA,medium_airport,2,7500,share of NA/CA
1,CYQT,YQT,Thunder Bay International Airport,Thunder Bay,CA,CA-ON,NA,medium_airport,2,7318,share of NA/CA
1,CYKF,YKF,Region of Waterloo International Airport,Breslau,CA,CA-ON,NA,medium_airport,2,7003,share of NA/CA
1,CYMM,YMM,Fort McMurray International Airport,Fort McMurray,CA,CA-AB,NA,medium_airport,1,7503,share of NA/CA
1,CYXC,YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,CA,CA-BC,NA,medium_airport,1,6000,share of NA/CA
1,CYFJ,YTM,Mont-Tremblant International Airport,La Macaza,CA,CA-QC,NA,medium_airport,1,5587,share of NA/CA
1,CYPG,YPG,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,CA-MB,NA,medium_airport,4,7000,share of NA/CA
1,CYOD,YOD,CFB Cold Lake,Cold Lake,CA,CA-AB,NA,medium_airport,3,12600,share of NA/CA
1,CYYB,YYB,North Bay Jack Garland Airport,North Bay,CA,CA-ON,NA,medium_airport,3,10000,share of NA/CA
1,CYMJ,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,CA-SK,NA,medium_airport,3,8326,share of NA/CA
1,CYHU,YHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,CA-QC,NA,medium_airport,3,7840,share of NA/CA
1,CYQS,YQS,St Thomas Municipal Airport,St Thomas,CA,CA-ON,NA,medium_airport,3,5013,share of NA/CA
1,CYPK,,Pitt Meadows Regional Airport,Pitt Meadows,CA,CA-BC,NA,medium_airport,3,5003,share of NA/CA
1,CYAZ,YAZ,Tofino / Long Beach Airport,Tofino,CA,CA-BC,NA,medium_airport,3,5000,share of NA/CA
1,CYDN,YDN,Dauphin Barker Airport,Dauphin,CA,CA-MB,NA,medium_airport,3,5000,share of NA/CA
1,CYFD,,Brantford Municipal Airport,Brantford,CA,CA-ON,NA,medium_airport,3,5000,share of NA/CA
1,CYGD,,Goderich Airport,Goderich,CA,CA-ON,NA,medium_airport,3,5000,share of NA/CA
1,CYSN,YCM,Niagara District Airport,Niagara-on-the-Lake,CA,CA-ON,NA,medium_airport,3,5000,share of NA/CA
1,CYZT,YZT,Port Hardy Airport,Port Hardy,CA,CA-BC,NA,medium_airport,3,5000,share of NA/CA
1,CYJN,YJN,St Jean Airport,St Jean,CA,CA-QC,NA,medium_airport,3,4000,share of NA/CA
1,CYAV,,Winnipeg / St. Andrews Airport,Winnipeg/Saint Andrews,CA,CA-MB,NA,medium_airport,3,3000,share of NA/CA
1,CYYR,YYR,Goose Bay Airport,Goose Bay,CA,CA-NL,NA,medium_airport,2,11046,share of NA/CA
1,CYBG,YBG,Saguenay-Bagotville Airport,Saguenay,CA,CA-QC,NA,medium_airport,2,10000,share of NA/CA
1,CYTR,YTR,CFB Trenton,Trenton,CA,CA-ON,NA,medium_airport,2,10000,share of NA/CA
1,CYYQ,YYQ,Churchill Airport,Churchill,CA,CA-MB,NA,medium_airport,2,9200,share of NA/CA
1,CYQU,YQU,Grande Prairie Airport,Grande Prairie,CA,CA-AB,NA,medium_airport,2,8502,share of NA/CA
1,CYKA,YKA,Kamloops John Moose Fulton Field Regional Airport,Kamloops,CA,CA-BC,NA,medium_airport,2,8000,share of NA/CA
1,CYZX,YZX,CFB Greenwood,Greenwood,CA,CA-NS,NA,medium_airport,2,8000,share of NA/CA
1,CYQF,YQF,Red Deer Regional Airport,Springbrook,CA,CA-AB,NA,medium_airport,2,7500,share of NA/CA
1,CYXT,YXT,Northwest Regional Airport Terrace-Kitimat,Terrace,CA,CA-BC,NA,medium_airport,2,7497,share of NA/CA
1,CYQY,YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,CA-NS,NA,medium_airport,2,7070,share of NA/CA
1,CYPQ,YPQ,Peterborough Regional Airport,Peterborough,CA,CA-ON,NA,medium_airport,2,7005,share of NA/CA
1,CYYG,YYG,Charlottetown Airport,Charlottetown,CA,CA-PE,NA,medium_airport,2,7002,share of NA/CA
1,CYSJ,YSJ,Saint John Airport,Saint John,CA,CA-NB,NA,medium_airport,2,7000,share of NA/CA
1,CYXJ,YXJ,Fort St John / North Peace Regional Airport,Fort Saint John,CA,CA-BC,NA,medium_airport,2,6909,share of NA/CA
1,CYSB,YSB,Sudbury Airport,Sudbury,CA,CA-ON,NA,medium_airport,2,6600,share of NA/CA
1,CYZV,YZV,Sept-Îles Airport,Sept-Îles,CA,CA-QC,NA,medium_airport,2,6552,share of NA/CA
1,CYBR,YBR,Brandon Municipal Airport,Brandon,CA,CA-MB,NA,medium_airport,2,6500,share of NA/CA
1,CYQL,YQL,Lethbridge County Airport,Lethbridge,CA,CA-AB,NA,medium_airport,2,6500,share of NA/CA
1,CYYE,YYE,Fort Nelson Airport,Fort Nelson,CA,CA-BC,NA,medium_airport,2,6400,share of NA/CA
1,CYGK,YGK,Kingston Norman Rogers Airport,Kingston,CA,CA-ON,NA,medium_airport,2,6001,share of NA/CA
1,CYAM,YAM,Sault Ste Marie Airport,Sault Ste Marie,CA,CA-ON,NA,medium_airport,2,6000,share of NA/CA
1,CYHY,YHY,Hay River / Merlyn Carter Airport,Hay River,CA,CA-NT,NA,medium_airport,2,6000,share of NA/CA
1,CYQI,YQI,Yarmouth Airport,Yarmouth,CA,CA-NS,NA,medium_airport,2,6000,share of NA/CA
1,CYSC,YSC,Sherbrooke Airport,Sherbrooke,CA,CA-QC,NA,medium_airport,2,6000,share of NA/CA
1,CYSM,YSM,Fort Smith Airport,Fort Smith,CA,CA-NT,NA,medium_airport,2,6000,share of NA/CA
1,CYTS,YTS,Timmins/Victor M. Power,Timmins,CA,CA-ON,NA,medium_airport,2,6000,share of NA/CA
1,CYVP,YVP,Kuujjuaq Airport,Kuujjuaq,CA,CA-QC,NA,medium_airport,2,6000,share of NA/CA
1,CYYY,YYY,Mont Joli Airport,Mont-Joli,CA,CA-QC,NA,medium_airport,2,6000,share of NA/CA
1,CYXR,YXR,Earlton (Timiskaming Regional) Airport,Earlton,CA,CA-ON,NA,medium_airport,2,5998,share of NA/CA
1,CYTH,YTH,Thompson Airport,Thompson,CA,CA-MB,NA,medium_airport,2,5800,share of NA/CA
