icao,iata,name,city,country,region,continent,kind,runways,longest_ft,lat,lon
07FA,OCA,Ocean Reef Club Airport,Key Largo,US,US-FL,NA,medium_airport,1,4500,25.32540,-80.27480
AGGH,HIR,Honiara International Airport,Honiara,SB,SB-GU,OC,large_airport,1,7218,-9.42800,160.05499
AGGM,MUA,Munda Airport,Munda,SB,SB-WE,OC,medium_airport,1,4593,-8.32797,157.26300
ANYN,INU,Nauru International Airport,Yaren,NR,NR-14,OC,medium_airport,1,7054,-0.54789,166.91952
AQBC,,Boulder Clay Runway,Zucchelli Station,AQ,AQ-U-A,AN,medium_airport,0,,-74.73937,164.03539
AT03,,Concordia Skyway,Concordia Station,AQ,AQ-U-A,AN,medium_airport,0,,-75.10328,123.35825
AT28,,Vostok Skiway,Vostok Station,AQ,AQ-U-A,AN,medium_airport,0,,-78.46614,106.84825
AYBA,VMU,Baimuru Airport,Baimuru,PG,PG-GPK,OC,medium_airport,1,2953,-7.49695,144.82176
AYBK,BUA,Buka Airport,Buka Island,PG,PG-NSB,OC,medium_airport,1,5125,-5.42230,154.67270
AYBM,OPU,Balimo Airport,Balimo,PG,PG-WPD,OC,medium_airport,0,,-8.05000,142.93300
AYCH,CMU,Chimbu Airport,Kundiawa,PG,PG-CPK,OC,medium_airport,1,3330,-6.02429,144.97099
AYDU,DAU,Daru Airport,Daru,PG,PG-WPD,OC,medium_airport,1,4593,-9.08676,143.20799
AYGA,GKA,Goroka Airport,Goronka,PG,PG-EHG,OC,medium_airport,2,5400,-6.08169,145.39200
AYGN,GUR,Gurney Airport,Gurney,PG,PG-MBA,OC,medium_airport,1,5546,-10.31150,150.33400
AYGR,PNP,Girua Airport,Popondetta,PG,PG-NPP,OC,medium_airport,1,5485,-8.80454,148.30901
AYHK,HKN,Hoskins Airport,Kimbe,PG,PG-WBK,OC,medium_airport,1,6644,-5.46385,150.40733
AYKM,KMA,Kerema Airport,Kerema,PG,PG-GPK,OC,medium_airport,1,3044,-7.96361,145.77100
AYKV,KVG,Kavieng Airport,Kavieng,PG,PG-NIK,OC,medium_airport,1,5592,-2.57940,150.80800
AYMD,MAG,Madang Airport,Madang,PG,PG-MPM,OC,medium_airport,1,5174,-5.20708,145.78900
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,PG-WHM,OC,medium_airport,2,7185,-5.82821,144.29941
AYMN,MDU,Mendi Airport,Mendi,PG,PG-SHM,OC,medium_airport,1,4411,-6.14774,143.65700
AYMO,MAS,Momote Airport,Manus Island,PG,PG-MRL,OC,medium_airport,1,6136,-2.06189,147.42400
AYNZ,LAE,Nadzab Tomodachi International Airport,Lae,PG,PG-MPL,OC,large_airport,1,8000,-6.56799,146.72654
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,PG,PG-NCD,OC,large_airport,2,9022,-9.44338,147.22000
AYTK,RAB,Tokua Airport,Kokopo,PG,PG-EBR,OC,medium_airport,1,5643,-4.34046,152.38001
AYVN,VAI,Vanimo Airport,Vanimo,PG,PG-SAN,OC,medium_airport,1,5775,-2.69260,141.30280
AYWD,WBM,Wapenamanda Airport,Wapenamanda,PG,PG-EPW,OC,medium_airport,1,5052,-5.63529,143.89223
AYWK,WWK,Wewak International Airport,Wewak,PG,PG-ESW,OC,medium_airport,1,5234,-3.58383,143.66901
BGAA,JEG,Aasiaat Airport,Aasiaat,GL,GL-QK,NA,medium_airport,1,2621,68.72180,-52.78470
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL,GL-SE,NA,medium_airport,1,3281,70.74310,-22.65050
BGGH,GOH,Nuuk International Airport,Nuuk,GL,GL-SE,NA,large_airport,1,7217,64.19107,-51.67914
BGJN,JAV,Ilulissat Airport,Ilulissat,GL,GL-AV,NA,medium_airport,1,2772,69.24320,-51.05710
BGKK,KUS,Kulusuk Airport,Kulusuk,GL,GL-SE,NA,medium_airport,1,3934,65.57360,-37.12360
BGQO,JJU,Qaqortoq Airport,Qaqortoq,GL,GL-KU,NA,medium_airport,0,,60.76383,-46.06500
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,GL,GL-AV,NA,medium_airport,1,3314,77.48860,-69.38870
BGSF,SFJ,Kangerlussuaq International Airport,Kangerlussuaq,GL,GL-QA,NA,medium_airport,1,9219,67.01045,-50.71529
BGSS,JHS,Sisimiut Airport,Sisimiut,GL,GL-QA,NA,medium_airport,1,2621,66.95130,-53.72930
BGTL,THU,Pituffik Space Base,Pituffik,GL,GL-AV,NA,medium_airport,1,9997,76.53063,-68.70054
