icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
CYAV,,Winnipeg / St. Andrews Airport,Winnipeg/Saint Andrews,CA,NA,medium_airport,3,3000,50.05640,-97.03250
CYAZ,YAZ,Tofino / Long Beach Airport,Tofino,CA,NA,medium_airport,3,5000,49.07983,-125.77558
CYDN,YDN,Dauphin Barker Airport,Dauphin,CA,NA,medium_airport,3,5000,51.10080,-100.05200
CYFD,,Brantford Municipal Airport,Brantford,CA,NA,medium_airport,3,5000,43.13140,-80.34250
CYGD,,Goderich Airport,Goderich,CA,NA,medium_airport,3,5000,43.76690,-81.71060
CYHU,YHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,NA,medium_airport,3,7840,45.51750,-73.41690
CYJN,YJN,St Jean Airport,St Jean,CA,NA,medium_airport,3,4000,45.29440,-73.28110
CYMJ,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,NA,medium_airport,3,8326,50.33030,-105.55900
CYOD,YOD,CFB Cold Lake,Cold Lake,CA,NA,medium_airport,3,12600,54.40500,-110.27900
CYOW,YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,NA,large_airport,3,10000,45.32250,-75.66920
CYPG,YPG,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,NA,medium_airport,4,7000,49.90310,-98.27382
CYPK,,Pitt Meadows Regional Airport,Pitt Meadows,CA,NA,medium_airport,3,5003,49.21488,-122.70929
CYQS,YQS,St Thomas Municipal Airport,St Thomas,CA,NA,medium_airport,3,5013,42.77000,-81.11080
CYSN,YCM,Niagara District Airport,Niagara-on-the-Lake,CA,NA,medium_airport,3,5000,43.19160,-79.17169
CYVR,YVR,Vancouver International Airport,Vancouver,CA,NA,large_airport,3,11500,49.19390,-123.18400
CYXS,YXS,Prince George (International) Airport,Prince George,CA,NA,medium_airport,3,11450,53.88431,-122.66655
CYYB,YYB,North Bay Jack Garland Airport,North Bay,CA,NA,medium_airport,3,10000,46.36360,-79.42280
CYYC,YYC,Calgary International Airport,Calgary,CA,NA,large_airport,3,14000,51.11882,-114.00993
CYYJ,YYJ,Victoria International Airport,Victoria,CA,NA,large_airport,3,7000,48.64720,-123.42779
CYYZ,YYZ,Toronto Pearson International Airport,Toronto,CA,NA,large_airport,5,11120,43.67594,-79.62942
CYZT,YZT,Port Hardy Airport,Port Hardy,CA,NA,medium_airport,3,5000,50.68060,-127.36700
EBBR,BRU,Brussels Airport,Zaventem,BE,EU,large_airport,3,11936,50.90140,4.48444
EDAH,HDF,Heringsdorf Airport,Zirchow,DE,EU,medium_airport,3,7562,53.87870,14.15230
EDDF,FRA,Frankfurt Main Airport,Frankfurt am Main,DE,EU,large_airport,4,13123,50.02671,8.55835
EDDK,CGN,Cologne Bonn Airport,Köln (Cologne),DE,EU,large_airport,3,12516,50.86590,7.14274
EDDS,STR,Stuttgart Airport,Stuttgart,DE,EU,large_airport,3,10974,48.68990,9.22196
EDDV,HAJ,Hannover Airport,Hannover,DE,EU,large_airport,3,12434,52.46110,9.68508
EDFM,MHG,Mannheim-City Airport,Mannheim,DE,EU,medium_airport,3,3497,49.47306,8.51417
EDGS,SGE,Siegerland Airport,Burbach,DE,EU,medium_airport,5,5315,50.70770,8.08297
EFHK,HEL,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,EU,large_airport,3,11483,60.31836,24.96334
EGDM,,MoD Boscombe Down,"Salisbury, Wiltshire",GB,EU,medium_airport,3,10538,51.15220,-1.74741
EGDR,,RNAS Culdrose,Helston,GB,EU,medium_airport,3,6006,50.08610,-5.25571
EGJA,ACI,Alderney Airport,Saint Anne,GG,EU,medium_airport,3,2877,49.70610,-2.21472
EGKA,ESH,Brighton City Airport,"Brighton, East Sussex",GB,EU,medium_airport,3,3385,50.83560,-0.29722
EGPB,LSI,Sumburgh Airport,"Lerwick, Shetland",GB,EU,medium_airport,3,4915,59.87890,-1.29556
EGPR,BRR,Barra Airport,Eoligarry,GB,EU,medium_airport,3,2776,57.02280,-7.44306
EGPU,TRE,Tiree Airport,"Balemartine, Argyll and Bute",GB,EU,medium_airport,3,4600,56.49920,-6.86917
EGYD,,RAF Cranwell,"Sleaford, Lincolnshire",GB,EU,medium_airport,4,6831,53.02731,-0.49310
EGYE,,RAF Barkston Heath,"Grantham, Lincolnshire",GB,EU,medium_airport,3,5722,52.96062,-0.55943
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,NL,EU,large_airport,6,12467,52.30860,4.76389
EIDW,DUB,Dublin Airport,Dublin,IE,EU,large_airport,3,10203,53.42871,-6.26212
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,DK,EU,large_airport,3,11811,55.61790,12.65600
EKKA,KRP,Midtjyllands Airport / Air Base Karup,Karup,DK,EU,medium_airport,5,9816,56.29714,9.10431
EPRZ,RZE,Rzeszów-Jasionka Airport,Jasionka,PL,EU,large_airport,4,10498,50.10979,22.02416
ESSA,ARN,Stockholm-Arlanda Airport,Stockholm,SE,EU,large_airport,3,10830,59.64849,17.92883
ETHL,,Laupheim Air Base,Laupheim,DE,EU,medium_airport,3,5400,48.22030,9.91002
ETHS,,Faßberg Air Base,Faßberg,DE,EU,medium_airport,3,8005,52.91940,10.18583
ETNW,,Wunstorf Air Base,,DE,EU,medium_airport,3,8199,52.45730,9.42717
FAAB,ALJ,Alexander Bay Airport,Alexander Bay,ZA,AF,medium_airport,3,6063,-28.57500,16.53330
FAKD,KXE,P C Pelser Airport,Klerksdorp,ZA,AF,medium_airport,3,4921,-26.87110,26.71800
FALW,SDB,Langebaanweg Airport,Langebaanweg,ZA,AF,medium_airport,4,7689,-32.96890,18.16030
FAUP,UTN,Upington Airport,Upington,ZA,AF,medium_airport,3,16076,-28.40025,21.26359
HE37,,Bilbeis Air Base,Bilbeis,EG,AF,medium_airport,5,11480,30.39490,31.60140
HECA,CAI,Cairo International Airport,Cairo,EG,AF,large_airport,3,13124,30.11153,31.39669
HECP,CCE,Capital International Airport,New Cairo,EG,AF,medium_airport,3,11980,30.06465,31.83997
HKLO,LOK,Lodwar Airport,Lodwar,KE,AF,medium_airport,3,3281,3.12197,35.60870
KABI,ABI,Abilene Regional Airport,Abilene,US,NA,medium_airport,3,7208,32.41130,-99.68190
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,US,NA,large_airport,3,13793,35.03998,-106.60892
KAGC,AGC,Allegheny County Airport,Pittsburgh,US,NA,medium_airport,3,6501,40.35440,-79.93020
KAIA,AIA,Alliance Municipal Airport,Alliance,US,NA,medium_airport,3,9203,42.05254,-102.80397
KAPA,APA,Centennial Airport,Denver,US,NA,medium_airport,3,10001,39.57010,-104.84900
KAPF,APF,Naples Municipal Airport,Naples,US,NA,medium_airport,3,6600,26.15260,-81.77530
KATL,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,NA,large_airport,5,12390,33.63670,-84.42810
